"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"08/07/2017","6","35.38 mi","5.90 mi","8.12 mi","4:24:45 h:m:s","44:07 h:m:s","1:07:34 h:m:s","3,310 C","680 ft","136 ft","203 ft","735 ft","122 ft","262 ft","7.9 mph","66.0 mph","7:35 min/mi","0:55 min/mi","--","--","73 spm","94 spm","--","--","--","--","--","--","1.44 m"
"07/31/2017","6","22.07 mi","3.68 mi","6.74 mi","3:54:43 h:m:s","39:07 h:m:s","1:53:42 h:m:s","1,953 C","171 ft","34 ft","71 ft","166 ft","41 ft","70 ft","7.1 mph","49.4 mph","8:30 min/mi","1:13 min/mi","--","--","71 spm","113 spm","--","--","--","--","--","--","1.29 m"
"07/24/2017","4","29.01 mi","7.25 mi","9.82 mi","6:04:21 h:m:s","1:31:05 h:m:s","3:10:47 h:m:s","2,549 C","1,160 ft","290 ft","576 ft","1,162 ft","290 ft","556 ft","6.3 mph","13.0 mph","9:34 min/mi","4:37 min/mi","--","--","63 spm","120 spm","--","--","--","--","--","--","1.29 m"
"07/17/2017","5","33.09 mi","6.62 mi","8.04 mi","8:28:16 h:m:s","1:41:39 h:m:s","5:07:46 h:m:s","2,753 C","3,564 ft","713 ft","2,144 ft","3,818 ft","764 ft","2,199 ft","6.3 mph","28.4 mph","9:32 min/mi","2:07 min/mi","--","--","63 spm","121 spm","--","--","--","--","--","--","1.26 m"
"07/10/2017","10","35.39 mi","3.54 mi","10.38 mi","10:07:36 h:m:s","1:00:46 h:m:s","1:54:00 h:m:s","2,854 C","3,747 ft","375 ft","1,142 ft","4,002 ft","445 ft","1,142 ft","4.1 mph","34.3 mph","14:32 min/mi","1:45 min/mi","--","--","48 spm","120 spm","--","--","--","--","--","--","1.06 m"
"07/03/2017","7","29.71 mi","4.24 mi","5.60 mi","6:12:27 h:m:s","53:12 h:m:s","1:53:37 h:m:s","2,744 C","2,346 ft","335 ft","667 ft","3,010 ft","430 ft","1,120 ft","5.3 mph","56.7 mph","11:19 min/mi","1:03 min/mi","95 bpm","119 bpm","58 spm","107 spm","--","--","--","--","--","--","1.12 m"
"06/26/2017","3","14.97 mi","4.99 mi","6.50 mi","3:46:03 h:m:s","1:15:21 h:m:s","2:02:45 h:m:s","1,309 C","921 ft","307 ft","503 ft","944 ft","315 ft","503 ft","5.1 mph","14.5 mph","11:47 min/mi","4:08 min/mi","--","--","56 spm","120 spm","--","--","--","--","--","--","1.13 m"
"06/19/2017","3","27.40 mi","9.13 mi","12.54 mi","3:47:19 h:m:s","1:15:46 h:m:s","1:40:12 h:m:s","2,375 C","1,016 ft","339 ft","688 ft","877 ft","292 ft","482 ft","7.2 mph","11.5 mph","8:21 min/mi","5:14 min/mi","166 bpm","185 bpm","72 spm","96 spm","--","--","--","--","--","--","1.34 m"
"06/12/2017","7","30.18 mi","4.31 mi","7.63 mi","5:43:42 h:m:s","49:06 h:m:s","1:50:04 h:m:s","2,715 C","3,057 ft","509 ft","1,081 ft","3,162 ft","452 ft","1,176 ft","6.3 mph","15.1 mph","9:29 min/mi","3:59 min/mi","113 bpm","163 bpm","71 spm","107 spm","--","--","--","--","--","--","1.15 m"
"06/05/2017","1","3.01 mi","3.01 mi","3.01 mi","20:26 h:m:s","20:26 h:m:s","20:26 h:m:s","273 C","126 ft","126 ft","126 ft","68 ft","68 ft","68 ft","8.8 mph","10.9 mph","6:48 min/mi","5:32 min/mi","--","--","80 spm","87 spm","--","--","--","--","--","--","1.47 m"
"05/29/2017","1","4.86 mi","4.86 mi","4.86 mi","1:37:10 h:m:s","1:37:10 h:m:s","1:37:10 h:m:s","278 C","303 ft","303 ft","303 ft","311 ft","311 ft","311 ft","3.0 mph","19.4 mph","19:59 min/mi","3:05 min/mi","92 bpm","126 bpm","51 spm","63 spm","--","--","--","--","--","--","0.78 m"
"05/22/2017","5","10.69 mi","2.14 mi","4.60 mi","1:32:09 h:m:s","18:26 h:m:s","34:04 h:m:s","964 C","132 ft","66 ft","126 ft","135 ft","34 ft","85 ft","6.9 mph","31.5 mph","8:39 min/mi","1:54 min/mi","--","--","68 spm","122 spm","--","--","--","--","--","--","1.80 m"
"05/15/2017","7","18.58 mi","2.65 mi","3.53 mi","2:55:39 h:m:s","25:06 h:m:s","36:28 h:m:s","1,721 C","496 ft","83 ft","121 ft","491 ft","82 ft","114 ft","6.5 mph","57.4 mph","9:14 min/mi","1:03 min/mi","141 bpm","175 bpm","72 spm","120 spm","--","--","--","--","--","--","1.10 m"
"05/08/2017","5","11.98 mi","2.40 mi","3.77 mi","1:45:58 h:m:s","21:12 h:m:s","30:35 h:m:s","1,062 C","367 ft","92 ft","235 ft","312 ft","156 ft","242 ft","6.7 mph","40.1 mph","8:57 min/mi","1:30 min/mi","--","--","78 spm","121 spm","--","--","--","--","--","--","--"
"05/01/2017","6","18.82 mi","3.14 mi","4.85 mi","2:56:32 h:m:s","29:25 h:m:s","42:48 h:m:s","1,704 C","584 ft","97 ft","206 ft","536 ft","107 ft","171 ft","6.5 mph","19.0 mph","9:14 min/mi","3:10 min/mi","137 bpm","160 bpm","76 spm","114 spm","--","--","--","--","--","--","1.06 m"
"04/24/2017","3","11.90 mi","3.97 mi","5.53 mi","1:56:22 h:m:s","38:47 h:m:s","47:58 h:m:s","986 C","267 ft","89 ft","109 ft","232 ft","77 ft","117 ft","6.4 mph","58.3 mph","9:20 min/mi","1:02 min/mi","--","--","70 spm","109 spm","--","--","--","--","--","--","1.25 m"
"04/17/2017","6","16.56 mi","2.76 mi","5.97 mi","2:20:49 h:m:s","23:28 h:m:s","44:03 h:m:s","1,475 C","350 ft","58 ft","121 ft","311 ft","52 ft","83 ft","6.7 mph","109.6 mph","8:55 min/mi","0:33 min/mi","--","--","75 spm","121 spm","--","--","--","--","--","--","1.20 m"
